CR: Enter the Matrix;An arcade Pachinko machine featuring footage from the Matrix trilogy.;2026-02-06 11:42:50
The Matrix;Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. As a rebel against the machines, Neo must confront the agents: super-powerful computer programs devoted to stopping Neo and the entire human rebellion.;2026-02-06 11:45:35
The Matrix;Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. As a rebel against the machines, Neo must confront the agents: super-powerful computer programs devoted to stopping Neo and the entire human rebellion.;2026-02-06 11:48:09
the shawshank redemptionasdsa;False;2026-02-06 11:51:37
the shawshank redemption;True;2026-02-06 11:52:03
The Shawshank Redemption;"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.";2026-02-06 11:52:03
the shawshank redemption;;2026-02-06 11:54:23
the shawshank redemption;;2026-02-06 11:56:44
the shawshank redemption;;2026-02-06 11:57:44
the shawshank redemption;;2026-02-06 11:58:10
the shawshank redemption;;2026-02-06 11:58:18
the shawshank redemption;;2026-02-06 12:00:16
the shawshank redemption;;2026-02-06 12:03:57
the shawshank redemption;;2026-02-06 12:04:20
the shawshank redemption;;2026-02-06 12:04:43
the shawshank redemption;;2026-02-06 12:05:05
the shawshank redemption;;2026-02-06 12:05:55
the shawshank redemption;;2026-02-06 12:06:25
the shawshank redemption;;2026-02-06 12:07:10
the shawshank redemption;;2026-02-06 12:07:56
the shawshank redemption;;2026-02-06 12:08:03
the shawshank redemption;;2026-02-06 12:09:37
the shawshank redemption;;2026-02-06 12:10:07
the shawshank redemption;;2026-02-06 12:10:19
the shawshank redemption;;2026-02-06 12:11:05
the shawshank redemption;;2026-02-06 12:11:47
the shawshank redemption;;2026-02-06 12:12:25
the shawshank redemption;;2026-02-06 12:15:33
the shawshank redemption;;2026-02-06 12:15:43
the shawshank redemption;2026-02-06 12:16:31
The Matrix;2026-02-06 12:27:32
